Reward: -1.8408397203722444, Epsilon: 0.3173112652388396
Reward: -5.0, Epsilon: 0.3157247089126454
Reward: -3.0, Epsilon: 0.3141460853680822
Reward: -0.3731847795304253, Epsilon: 0.3125753549412418
Reward: 10.0, Epsilon: 0.31101247816653554
Reward: 7.538649031088563, Epsilon: 0.30945741577570285
Reward: 9.0, Epsilon: 0.3079101286968243
Reward: 8.616025321959096, Epsilon: 0.3063705780533402
Reward: 9.0, Epsilon: 0.30483872516307353
Reward: -1.0, Epsilon: 0.3033145315372582
Reward: -1.0, Epsilon: 0.3017979588795719
Reward: 7.178945246451455, Epsilon: 0.30028896908517405
Reward: 7.68120811037824, Epsilon: 0.2987875242397482
Reward: 10.0, Epsilon: 0.29729358661854943
Reward: 0.0, Epsilon: 0.29580711868545667
Reward: 4.613910847027535, Epsilon: 0.2943280830920294
Reward: 8.617422832245097, Epsilon: 0.29285644267656924
Reward: 8.61564537938706, Epsilon: 0.2913921604631864
Reward: -1.7312210492445903, Epsilon: 0.28993519966087045
Reward: 10.0, Epsilon: 0.2884855236625661
Reward: 0.0, Epsilon: 0.28704309604425327
Reward: 7.29976643116084, Epsilon: 0.285607880564032
Reward: 9.0, Epsilon: 0.28417984116121187
Reward: -1.3187193862696738, Epsilon: 0.2827589419554058
Reward: -0.8412489806858243, Epsilon: 0.28134514724562876
Reward: 7.231068930388929, Epsilon: 0.2799384215094006
Reward: 5.45708262377168, Epsilon: 0.27853872940185365
Reward: 0.0, Epsilon: 0.27714603575484437
Reward: 10.0, Epsilon: 0.2757603055760701
Reward: 9.0, Epsilon: 0.2743815040481898
Reward: 8.299726866957055, Epsilon: 0.2730095965279488
Reward: 8.616025321959096, Epsilon: 0.27164454854530906
Reward: 8.0, Epsilon: 0.2702863258025825
Reward: -1.0, Epsilon: 0.2689348941735696
Reward: 0.0, Epsilon: 0.26759021970270175
Reward: 8.473310477806258, Epsilon: 0.2662522686041882
Reward: -3.384440365489958, Epsilon: 0.2649210072611673
Reward: 0.0, Epsilon: 0.26359640222486147
Reward: 9.0, Epsilon: 0.26227842021373715
Reward: 9.0, Epsilon: 0.2609670281126685
Reward: 8.0, Epsilon: 0.25966219297210513
Reward: 9.0, Epsilon: 0.2583638820072446
Reward: -1.0, Epsilon: 0.2570720625972084
Reward: 7.633113921418103, Epsilon: 0.25578670228422234
Reward: 7.23141372465232, Epsilon: 0.25450776877280124
Reward: 0.09297627017977028, Epsilon: 0.2532352299289372
Reward: -1.0, Epsilon: 0.2519690537792925
Reward: -1.0, Epsilon: 0.2507092085103961
Reward: 10.0, Epsilon: 0.2494556624678441
Reward: 8.681207808883048, Epsilon: 0.24820838415550486
Reward: -1.0, Epsilon: 0.24696734223472733
Reward: -1.3665747571641633, Epsilon: 0.2457325055235537
Reward: -0.2999234896621239, Epsilon: 0.24450384299593592
Reward: 9.0, Epsilon: 0.24328132378095624
Reward: 0.0, Epsilon: 0.24206491716205145
Reward: -2.0, Epsilon: 0.2408545925762412
Reward: 9.0, Epsilon: 0.23965031961336
Reward: -3.3561734977566537, Epsilon: 0.2384520680152932
Reward: 8.61564537938706, Epsilon: 0.23725980767521673
Reward: -1.0, Epsilon: 0.23607350863684065
Reward: -1.5795298924180106, Epsilon: 0.23489314109365644
Reward: -1.0, Epsilon: 0.23371867538818816
Reward: 8.617422832245097, Epsilon: 0.23255008201124722
Reward: -1.0, Epsilon: 0.231387331601191
Reward: -1.0, Epsilon: 0.23023039494318503
Reward: 0.0, Epsilon: 0.2290792429684691
Reward: 9.0, Epsilon: 0.22793384675362674
Reward: 7.552806594177072, Epsilon: 0.22679417751985861
Reward: 0.0, Epsilon: 0.22566020663225933
Reward: 0.0, Epsilon: 0.22453190559909803
Reward: 8.626730327147646, Epsilon: 0.22340924607110255
Reward: -2.0, Epsilon: 0.22229219984074702
Reward: 8.633112626830922, Epsilon: 0.2211807388415433
Reward: -2.3703484906885626, Epsilon: 0.22007483514733558
Reward: 0.0, Epsilon: 0.2189744609715989
Reward: 8.61584437934706, Epsilon: 0.2178795886667409
Reward: 9.0, Epsilon: 0.2167901907234072
Reward: 8.633112626830922, Epsilon: 0.21570623976979014
Reward: 8.626730327147646, Epsilon: 0.21462770857094118
Reward: 0.0, Epsilon: 0.21355457002808648
Reward: 8.626730327147646, Epsilon: 0.21248679717794605
Reward: -1.3727708302065347, Epsilon: 0.21142436319205632
Reward: 9.0, Epsilon: 0.21036724137609603
Reward: 10.0, Epsilon: 0.20931540516921554
Reward: 9.0, Epsilon: 0.20826882814336947
Reward: -1.3665747571641633, Epsilon: 0.20722748400265262
Reward: 9.681207757361069, Epsilon: 0.20619134658263935
Reward: 9.0, Epsilon: 0.20516038984972615
Reward: 8.681207808883048, Epsilon: 0.2041345879004775
Reward: -2.0, Epsilon: 0.2031139149609751
Reward: 0.0, Epsilon: 0.20209834538617025
Reward: 0.0, Epsilon: 0.2010878536592394
Reward: 9.0, Epsilon: 0.2000824143909432
Reward: -2.0, Epsilon: 0.19908200231898848
Reward: 0.0, Epsilon: 0.19808659230739353
Reward: 0.03655370733951546, Epsilon: 0.19709615934585656
Reward: 7.617435222214938, Epsilon: 0.19611067854912728
Reward: -3.0, Epsilon: 0.19513012515638165
Reward: 10.0, Epsilon: 0.19415447453059972
Reward: 0.0, Epsilon: 0.19318370215794672
Reward: 0.0, Epsilon: 0.192217783647157
Reward: 8.0, Epsilon: 0.1912566947289212
Reward: -2.436558298400124, Epsilon: 0.1903004112552766
Reward: 4.228698565461913, Epsilon: 0.18934890919900021
Reward: -1.0, Epsilon: 0.18840216465300522
Reward: 10.0, Epsilon: 0.18746015382974018
Reward: 8.0, Epsilon: 0.1865228530605915
Reward: 9.0, Epsilon: 0.18559023879528855
Reward: -1.3727708302065347, Epsilon: 0.1846622876013121
Reward: 8.681207808883048, Epsilon: 0.18373897616330553
Reward: -1.379585246521927, Epsilon: 0.182820281282489
Reward: 8.0, Epsilon: 0.18190617987607657
Reward: -1.3665747571641633, Epsilon: 0.18099664897669618
Reward: 8.0, Epsilon: 0.1800916657318127
Reward: -0.5799196641452298, Epsilon: 0.17919120740315364
Reward: 1.0, Epsilon: 0.17829525136613786
Reward: -1.0, Epsilon: 0.17740377510930716
Reward: 7.250792320216643, Epsilon: 0.17651675623376062
Reward: 9.0, Epsilon: 0.1756341724525918
Reward: 9.0, Epsilon: 0.17475600159032884
Reward: 0.4200137284523979, Epsilon: 0.17388222158237718
Reward: -1.0, Epsilon: 0.1730128104744653
Reward: 9.0, Epsilon: 0.17214774642209296
Reward: 9.0, Epsilon: 0.1712870076899825
Reward: 8.0, Epsilon: 0.17043057265153258
Reward: 0.0, Epsilon: 0.16957841978827493
Reward: -2.0, Epsilon: 0.16873052768933355
Reward: -1.0, Epsilon: 0.1678868750508869
Reward: -2.0, Epsilon: 0.16704744067563246
Reward: -1.0, Epsilon: 0.1662122034722543
Reward: 0.0, Epsilon: 0.16538114245489302
Reward: -1.0, Epsilon: 0.16455423674261854
Reward: 9.0, Epsilon: 0.16373146555890544
Reward: -1.3665747571641633, Epsilon: 0.16291280823111093
Reward: 1.0, Epsilon: 0.16209824418995536
Reward: -1.0, Epsilon: 0.16128775296900558
Reward: -1.3665747571641633, Epsilon: 0.16048131420416054
Reward: -1.0, Epsilon: 0.15967890763313974
Reward: 9.0, Epsilon: 0.15888051309497406
Reward: -4.450204802559501, Epsilon: 0.1580861105294992
Reward: -2.0, Epsilon: 0.1572956799768517
Reward: 7.617435222214938, Epsilon: 0.15650920157696743
Reward: 9.0, Epsilon: 0.1557266555690826
Reward: -2.0, Epsilon: 0.1549480222912372
Reward: 10.0, Epsilon: 0.15417328217978102
Reward: 8.616025321959096, Epsilon: 0.1534024157688821
Reward: -1.0, Epsilon: 0.1526354036900377
Reward: 7.0, Epsilon: 0.1518722266715875
Reward: 9.0, Epsilon: 0.15111286553822956
Reward: -2.2081473712404938, Epsilon: 0.15035730121053842
Reward: 9.0, Epsilon: 0.14960551470448571
Reward: 0.0, Epsilon: 0.14885748713096328
Reward: 9.6185112430833, Epsilon: 0.14811319969530845
Reward: 0.0, Epsilon: 0.1473726336968319
